month-year,cases,expenditures
7/1/2002 0:00,530,1761742
8/1/2002 0:00,641,4779352
9/1/2002 0:00,608,3544106
10/1/2002 0:00,726,4322736
11/1/2002 0:00,755,3315296
12/1/2002 0:00,791,3831684
1/1/2003 0:00,1109,5444810
2/1/2003 0:00,1305,3846712
3/1/2003 0:00,897,3657688
4/1/2003 0:00,872,4188874
5/1/2003 0:00,835,4497652
6/1/2003 0:00,730,6304906
7/1/2003 0:00,737,1882331
8/1/2003 0:00,777,4799409
9/1/2003 0:00,853,3654558
10/1/2003 0:00,964,4226185
11/1/2003 0:00,978,3538557
12/1/2003 0:00,1384,3891185
1/1/2004 0:00,1320,5478435
2/1/2004 0:00,943,3958911
3/1/2004 0:00,1019,3838395
4/1/2004 0:00,747,3977347
5/1/2004 0:00,621,4035885
6/1/2004 0:00,710,6079577
7/1/2004 0:00,744,2924526
8/1/2004 0:00,744,3789211
9/1/2004 0:00,717,3710005
10/1/2004 0:00,870,4234671
11/1/2004 0:00,1109,3985837
12/1/2004 0:00,1484,5093555
1/1/2005 0:00,1356,4442722
2/1/2005 0:00,1092,3952830
3/1/2005 0:00,913,4249375
4/1/2005 0:00,773,4496221
5/1/2005 0:00,725,4557242
6/1/2005 0:00,708,8038702
7/1/2005 0:00,735,3200933
8/1/2005 0:00,825,4036035
9/1/2005 0:00,799,4130529
10/1/2005 0:00,495,4632075
11/1/2005 0:00,915,4205616
12/1/2005 0:00,1402,6018482
1/1/2006 0:00,1384,4479369
2/1/2006 0:00,980,4210661
3/1/2006 0:00,1042,5160947
4/1/2006 0:00,898,4525694
5/1/2006 0:00,860,5142439
6/1/2006 0:00,779,7342978
7/1/2006 0:00,745,3873133
8/1/2006 0:00,895,3379866
9/1/2006 0:00,883,4707012
10/1/2006 0:00,995,4687509
11/1/2006 0:00,1077,4672075
12/1/2006 0:00,1559,6011408
1/1/2007 0:00,1531,5139746
2/1/2007 0:00,1080,5410486
3/1/2007 0:00,970,4855697
4/1/2007 0:00,813,5015926
5/1/2007 0:00,879,5807987
6/1/2007 0:00,785,10001991
7/1/2007 0:00,915,3496668
8/1/2007 0:00,1121,4488791
9/1/2007 0:00,893,4680852
10/1/2007 0:00,1134,5284692
11/1/2007 0:00,1204,7104442
12/1/2007 0:00,1803,5449646
1/1/2008 0:00,2003,5860651
2/1/2008 0:00,1507,5235558
3/1/2008 0:00,1225,6244441
4/1/2008 0:00,1249,5423534
5/1/2008 0:00,1219,7596874
6/1/2008 0:00,1084,9391527
7/1/2008 0:00,1233,3446253
8/1/2008 0:00,1330,5360536
9/1/2008 0:00,1181,5380451
10/1/2008 0:00,1381,7625301
11/1/2008 0:00,1429,5487657
12/1/2008 0:00,2638,5565227
1/1/2009 0:00,2126,5848156
2/1/2009 0:00,1670,5373025
3/1/2009 0:00,1511,5853994
4/1/2009 0:00,1381,5926465
5/1/2009 0:00,1197,7491443
6/1/2009 0:00,1227,9488706
7/1/2009 0:00,1389,3334612
8/1/2009 0:00,1311,4859584
9/1/2009 0:00,1467,5044446
10/1/2009 0:00,1483,7735954
11/1/2009 0:00,1314,5530405
12/1/2009 0:00,2174,5474757
1/1/2010 0:00,1882,5560586
2/1/2010 0:00,1838,5387268
3/1/2010 0:00,1553,7530570
4/1/2010 0:00,1297,8400295
5/1/2010 0:00,1065,6560208
6/1/2010 0:00,1236,12142884
7/1/2010 0:00,1349,3079962
8/1/2010 0:00,1594,7012072
9/1/2010 0:00,1553,9229131
10/1/2010 0:00,1515,7464105
11/1/2010 0:00,1614,5937486
12/1/2010 0:00,2419,7845446
1/1/2011 0:00,2153,6090466
2/1/2011 0:00,1755,5306134
3/1/2011 0:00,1652,6964422
4/1/2011 0:00,1385,5393885
5/1/2011 0:00,1512,6727645
6/1/2011 0:00,1553,8641490
7/1/2011 0:00,1500,4763981
8/1/2011 0:00,2202,4932734
9/1/2011 0:00,1651,6485184
10/1/2011 0:00,1890,6119507
11/1/2011 0:00,1205,6558162
12/1/2011 0:00,1797,6728843
1/1/2012 0:00,2444,5782159
2/1/2012 0:00,2174,5437088
3/1/2012 0:00,1654,6820431
4/1/2012 0:00,1495,6507548
5/1/2012 0:00,1523,6858396
6/1/2012 0:00,1394,8710993
7/1/2012 0:00,1549,2218180
8/1/2012 0:00,1825,7738364
9/1/2012 0:00,1621,6058614
10/1/2012 0:00,2177,7250009
11/1/2012 0:00,2087,6506745
12/1/2012 0:00,2635,6001739
1/1/2013 0:00,2691,6289395
2/1/2013 0:00,2033,6170510
3/1/2013 0:00,1442,6223664
4/1/2013 0:00,1403,5856375
5/1/2013 0:00,1518,8365684
6/1/2013 0:00,1357,8687508
7/1/2013 0:00,1460,4872058
8/1/2013 0:00,1728,5579501
9/1/2013 0:00,1634,6763500
10/1/2013 0:00,3021,7976321
11/1/2013 0:00,2364,6443064
12/1/2013 0:00,3156,5515248
1/1/2014 0:00,2600,6934652
2/1/2014 0:00,2066,7272998
3/1/2014 0:00,1780,6291568
4/1/2014 0:00,1654,8194439
5/1/2014 0:00,1488,7426599
6/1/2014 0:00,1423,7587824
7/1/2014 0:00,1666,3969556
8/1/2014 0:00,1581,6206085
9/1/2014 0:00,1666,6686617
10/1/2014 0:00,2200,6522546
11/1/2014 0:00,2534,8459891
12/1/2014 0:00,3604,7020042
1/1/2015 0:00,2534,7200593
2/1/2015 0:00,2042,6932176
3/1/2015 0:00,1923,7320320
