moyr,cases
2002-7-1,530
2002-8-1,641
2002-9-1,608
2002-10-1,726
2002-11-1,755
2002-12-1,791
2003-1-1,1109
2003-2-1,1305
2003-3-1,897
2003-4-1,872
2003-5-1,835
2003-6-1,730
2003-7-1,737
2003-8-1,777
2003-9-1,853
2003-10-1,964
2003-11-1,978
2003-12-1,1384
2004-1-1,1320
2004-2-1,943
2004-3-1,1019
2004-4-1,747
2004-5-1,621
2004-6-1,710
2004-7-1,744
2004-8-1,744
2004-9-1,717
2004-10-1,870
2004-11-1,1109
2004-12-1,1484
2005-1-1,1356
2005-2-1,1092
2005-3-1,913
2005-4-1,773
2005-5-1,725
2005-6-1,708
2005-7-1,735
2005-8-1,825
2005-9-1,799
2005-10-1,495
2005-11-1,915
2005-12-1,1402
2006-1-1,1384
2006-2-1,980
2006-3-1,1042
2006-4-1,898
2006-5-1,860
2006-6-1,779
2006-7-1,745
2006-8-1,895
2006-9-1,883
2006-10-1,995
2006-11-1,1077
2006-12-1,1559
2007-1-1,1531
2007-2-1,1080
2007-3-1,970
2007-4-1,813
2007-5-1,879
2007-6-1,785
2007-7-1,915
2007-8-1,1121
2007-9-1,893
2007-10-1,1134
2007-11-1,1204
2007-12-1,1803
2008-1-1,2003
2008-2-1,1507
2008-3-1,1225
2008-4-1,1249
2008-5-1,1219
2008-6-1,1084
2008-7-1,1233
2008-8-1,1330
2008-9-1,1181
2008-10-1,1381
2008-11-1,1429
2008-12-1,2638
2009-1-1,2126
2009-2-1,1670
2009-3-1,1511
2009-4-1,1381
2009-5-1,1197
2009-6-1,1227
2009-7-1,1389
2009-8-1,1311
2009-9-1,1467
2009-10-1,1483
2009-11-1,1314
2009-12-1,2174
2010-1-1,1882
2010-2-1,1838
2010-3-1,1553
2010-4-1,1297
2010-5-1,1065
2010-6-1,1236
2010-7-1,1349
2010-8-1,1594
2010-9-1,1553
2010-10-1,1515
2010-11-1,1614
2010-12-1,2419
2011-1-1,2153
2011-2-1,1755
2011-3-1,1652
2011-4-1,1385
2011-5-1,1512
2011-6-1,1553
2011-7-1,1500
2011-8-1,2202
2011-9-1,1651
2011-10-1,1890
2011-11-1,1205
2011-12-1,1797
2012-1-1,2444
2012-2-1,2174
2012-3-1,1654
2012-4-1,1495
2012-5-1,1523
2012-6-1,1394
2012-7-1,1549
2012-8-1,1825
2012-9-1,1621
2012-10-1,2177
2012-11-1,2087
2012-12-1,2635
2013-1-1,2691
2013-2-1,2033
2013-3-1,1442
2013-4-1,1403
2013-5-1,1518
2013-6-1,1357
2013-7-1,1460
2013-8-1,1728
2013-9-1,1634
2013-10-1,3021
2013-11-1,2364
2013-12-1,3156
2014-1-1,2600
2014-2-1,2066
2014-3-1,1780
2014-4-1,1654
2014-5-1,1488
2014-6-1,1423
2014-7-1,1666
2014-8-1,1581
2014-9-1,1666
2014-10-1,2200
2014-11-1,2534
2014-12-1,3604
2015-1-1,2534
2015-2-1,2042
2015-3-1,1923
2015-4-1,1660
2015-5-1,1486
2015-6-1,1637
2015-7-1,1810
2015-8-1,1678
2015-9-1,1803
2015-10-1,1925
2015-11-1,2421
2015-12-1,3529
2016-1-1,2507
2016-2-1,2125
2016-3-1,1804
2016-4-1,1492
2016-5-1,1357
2016-6-1,1560
2016-7-1,1493
2016-8-1,1818
2016-9-1,1723
2016-10-1,1765
2016-11-1,2512
2016-12-1,3253
2017-1-1,2620
2017-2-1,1893
2017-3-1,1486
2017-4-1,449
2017-5-1,1333
2017-6-1,1346
2017-7-1,1351
2017-8-1,1658
2017-9-1,1633
2017-10-1,1845
2017-11-1,2333
2017-12-1,3318
2018-1-1,2668
2018-2-1,2270
2018-3-1,2247
2018-4-1,1424
2018-5-1,1498
2018-6-1,1296
2018-7-1,1472
2018-8-1,1573
2018-9-1,1542
2018-10-1,1977
2018-11-1,2023
2018-12-1,2749
2019-1-1,2193
2019-2-1,1607
2019-3-1,1541
2019-4-1,1538
2019-5-1,1436
2019-6-1,1535
2019-7-1,1647
2019-8-1,1648
2019-9-1,1537
2019-10-1,1378
2019-11-1,1965
2019-12-1,2648
2020-1-1,2641
2020-2-1,1558
2020-3-1,1636
2020-4-1,3013
2020-5-1,2179
2020-6-1,1796
2020-7-1,1701
2020-8-1,1505
2020-9-1,1673
2020-10-1,1692
2020-11-1,1332
2020-12-1,2836
2021-1-1,2747
2021-2-1,2192
2021-3-1,2123
2021-4-1,1440
2021-5-1,1216
2021-6-1,1689
2021-7-1,1963
2021-8-1,2086
2021-9-1,2053
2021-10-1,2304
2021-11-1,2704
2021-12-1,3000
2022-1-1,2520
2022-2-1,2433
2022-3-1,2661
2022-4-1,2048
2022-5-1,1857
2022-6-1,1805
2022-7-1,1996
2022-8-1,2343
2022-9-1,2223
2022-10-1,2581
2022-11-1,3315
2022-12-1,3546
2023-1-1,3177
2023-2-1,2411
2023-3-1,2657
2023-4-1,1854
2023-5-1,2067
2023-6-1,1936
2023-7-1,1779
2023-8-1,2172
2023-9-1,2242
2023-10-1,2571
2023-11-1,2721
2023-12-1,3550
2024-1-1,3022
2024-2-1,2883
2024-3-1,2393
2024-4-1,1857
2024-5-1,2132
2024-6-1,1874
2024-7-1,2294
2024-8-1,3096
2024-9-1,3079
2024-10-1,3889
2024-11-1,3522
2024-12-1,4234
